png,start_x,start_y,start_z,goal_x,goal_y,goal_z,radius
Berlin_0_1024.png,1.4502,2.0491,0.5000,14.6681,18.9899,0.5000,0.0500
Berlin_1_1024.png,9.0693,18.7302,0.5000,15.3030,0.9235,0.5000,0.0500
Berlin_2_1024.png,12.0418,15.5267,0.5000,2.5758,7.8788,0.5000,0.0500
Boston_0_1024.png,18.8240,18.2973,0.5000,7.2799,2.0491,0.5000,0.0500
Boston_1_1024.png,2.0851,17.9221,0.5000,14.7258,4.5887,0.5000,0.0500
Boston_2_1024.png,2.3449,1.0101,0.5000,4.2496,17.4892,0.5000,0.0500
Denver_0_1024.png,0.7864,0.6061,0.5000,15.7937,16.6522,0.5000,0.0500
Denver_1_1024.png,2.0563,1.8470,0.5000,17.5830,13.4199,0.5000,0.0500
Denver_2_1024.png,0.7576,1.5007,0.5000,13.5426,17.5758,0.5000,0.0500
London_0_1024.png,2.3449,2.3377,0.5000,10.6854,16.2193,0.5000,0.0500
London_1_1024.png,2.3449,2.1068,0.5000,18.4776,13.0736,0.5000,0.0500
London_2_1024.png,1.1039,1.2987,0.5000,16.8326,15.5267,0.5000,0.0500
Milan_0_1024.png,1.7677,1.4430,0.5000,17.6407,17.2583,0.5000,0.0500
Milan_1_1024.png,3.6147,1.4430,0.5000,18.5065,7.9654,0.5000,0.0500
Milan_2_1024.png,3.4993,1.6162,0.5000,1.2771,16.5368,0.5000,0.0500
Moscow_0_1024.png,0.7864,4.3001,0.5000,10.3391,17.2294,0.5000,0.0500
Moscow_1_1024.png,1.9697,1.9913,0.5000,19.2857,18.1241,0.5000,0.0500
Moscow_2_1024.png,1.2482,2.1068,0.5000,17.6696,18.9033,0.5000,0.0500
NewYork_0_1024.png,1.3059,3.3478,0.5000,16.1977,17.6912,0.5000,0.0500
NewYork_1_1024.png,2.4892,0.7504,0.5000,7.9437,16.7965,0.5000,0.0500
NewYork_2_1024.png,1.2193,6.1472,0.5000,18.9683,15.8730,0.5000,0.0500
Paris_0_1024.png,5.4906,1.0101,0.5000,18.0159,18.0664,0.5000,0.0500
Paris_1_1024.png,3.3838,2.9149,0.5000,16.6017,16.2482,0.5000,0.0500
Paris_2_1024.png,9.9351,1.4430,0.5000,2.7201,17.8932,0.5000,0.0500
Shanghai_0_1024.png,2.7489,1.1255,0.5000,15.7359,14.3146,0.5000,0.0500
Shanghai_1_1024.png,1.7677,1.2698,0.5000,15.1299,18.9899,0.5000,0.0500
Shanghai_2_1024.png,1.2482,1.6450,0.5000,4.4517,15.5556,0.5000,0.0500
Sydney_0_1024.png,2.6335,1.5007,0.5000,14.9278,17.2294,0.5000,0.0500
Sydney_1_1024.png,1.9408,3.2035,0.5000,18.8528,18.2684,0.5000,0.0500
Sydney_2_1024.png,1.1905,1.0390,0.5000,5.9524,1.0967,0.5000,0.0500
